epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
25,0.5159047842025757,9.999999747378752e-05,1.1642444133758545,0.6194973587989807,0.34980952739715576,0.6830758452415466,0.8415234088897705,0.7586151361465454,0.5668942332267761
26,0.5721904635429382,9.999999747378752e-05,1.0433274507522583,0.6697438359260559,0.4145714342594147,0.6724158525466919,0.8586870431900024,0.7587734460830688,0.5334770679473877
27,0.597095251083374,9.999999747378752e-05,0.9849429726600647,0.6888503432273865,0.4539523720741272,0.642951250076294,0.8987302184104919,0.7362892031669617,0.49526888132095337
28,0.6261904835700989,2.9999999242136255e-05,0.920328676700592,0.7184589505195618,0.48485714197158813,0.7087076306343079,0.7828966379165649,0.7747252583503723,0.607977032661438
29,0.6362380981445312,2.9999999242136255e-05,0.9059566855430603,0.7208167314529419,0.4992857277393341,0.7123008966445923,0.7776613235473633,0.7788329124450684,0.6090549826622009
30,0.6412380933761597,2.9999999242136255e-05,0.8926908373832703,0.7266826033592224,0.506428599357605,0.7097855806350708,0.7830398678779602,0.7734746932983398,0.602826714515686
31,0.6421904563903809,2.9999999242136255e-05,0.8736810088157654,0.7255979180335999,0.5157619118690491,0.7194873690605164,0.7589491009712219,0.7729482650756836,0.6283386945724487
32,0.6536190509796143,2.9999999242136255e-05,0.8597943782806396,0.7390815019607544,0.5318571329116821,0.7162534594535828,0.7617937326431274,0.7732203602790833,0.6231883764266968
33,0.6620000004768372,2.9999999242136255e-05,0.8464941382408142,0.7403497695922852,0.5443333387374878,0.7211642265319824,0.7548093795776367,0.7823078036308289,0.6228290796279907
34,0.6680952310562134,2.9999999242136255e-05,0.8303864598274231,0.7468206882476807,0.5480952262878418,0.7281111478805542,0.7429672479629517,0.7811678647994995,0.6409150958061218
35,0.6697618961334229,2.9999999242136255e-05,0.8202868103981018,0.7463164925575256,0.5547618865966797,0.6952928304672241,0.8089251518249512,0.7584758996963501,0.5841417908668518
36,0.674047589302063,2.9999999242136255e-05,0.8148741722106934,0.7502257227897644,0.5539523959159851,0.7204455733299255,0.7543318271636963,0.7775512933731079,0.6397173404693604
37,0.6838571429252625,8.999999408842996e-06,0.7927802205085754,0.760707676410675,0.569190502166748,0.7236794829368591,0.7532395720481873,0.7740046977996826,0.6333692669868469
38,0.6873809695243835,8.999999408842996e-06,0.7862287163734436,0.7643150687217712,0.5752381086349487,0.7182896137237549,0.7598758935928345,0.7715120315551758,0.6325308680534363
